Circuit ID,Circuit Name,Circuit Location,Circuit Length (km)
BHR,Bahrain International Circuit,"Sakhir, Bahrain",5.412
IMO,Imola Circuit,"Imola, Italy",4.909
POR,Algarve International Circuit,"Portimao, Portugal",4.653
CAT,Circuit de Barcelona-Catalunya,"Montmelo, Spain",4.655
MCO,Circuit de Monaco,"Monte Carlo, Monaco",3.337
BAK,Baku City Circuit,"Baku, Azerbaijan",6.003
RIC,Circuit Paul Ricard,"Le Castellet, France",5.842
RBA,Red Bull Ring,"Spielberg, Austria",4.318
SIL,Silverstone Circuit,"Silverstone, UK",5.891
HUN,Hungaroring,"Mogyorod, Hungary",4.381
SPA,Circuit de Spa-Francorchamps,"Stavelot, Belgium",7.004
ZAN,Circuit Zandvoort,"Zandvoort, Netherlands",4.259
MON,Monza Circuit,"Monza, Italy",5.793
SOC,Sochi Autodrom,"Sochi, Russia",5.848
IST,Istanbul Park,"Tuzla, Turkey",5.338
COT,Circuit of the Americas,"Austin, USA",5.513
MEX,Autodromo Hermanos Rodriguez,"Mexico City, Mexico",4.304
INT,Interlagos,"Sao Paulo, Brazil",4.309
YAS,Yas Marina Circuit,"Abu Dhabi, UAE",5.554
